frame,time_sec,model_tag,class_id,class_name,confidence,x1,y1,x2,y2
52,1.733,coco_yolov8s,0,person,0.8095,1369.2,40.0,1758.5,593.8
52,1.733,coco_yolov8s,0,person,0.2906,1260.7,293.5,1520.5,789.6
52,1.733,coco_yolov8s,0,person,0.2785,700.3,659.5,753.1,821.9
53,1.767,coco_yolov8s,0,person,0.7609,1370.9,56.2,1737.4,593.0
53,1.767,coco_yolov8s,0,person,0.2508,1263.9,293.8,1669.2,795.5
54,1.800,coco_yolov8s,0,person,0.6191,1368.4,68.5,1719.8,613.4
55,1.833,coco_yolov8s,0,person,0.6946,1369.8,79.4,1696.8,618.7
55,1.833,coco_yolov8s,0,person,0.4353,1250.2,341.6,1424.8,807.8
56,1.867,coco_yolov8s,0,person,0.7580,1373.0,93.8,1681.4,641.2
56,1.867,coco_yolov8s,0,person,0.4093,1257.6,341.8,1427.4,809.9
57,1.900,coco_yolov8s,0,person,0.7652,1372.6,111.6,1671.1,673.9
58,1.933,coco_yolov8s,0,person,0.7559,1371.7,139.8,1658.9,665.7
58,1.933,coco_yolov8s,0,person,0.3448,1254.9,344.3,1586.0,809.8
59,1.967,coco_yolov8s,0,person,0.6065,1318.0,148.2,1646.8,743.7
59,1.967,coco_yolov8s,0,person,0.2831,1243.7,344.6,1521.4,811.4
60,2.000,coco_yolov8s,0,person,0.7568,1353.4,157.7,1635.3,743.6
60,2.000,coco_yolov8s,0,person,0.3993,1246.9,344.6,1470.6,806.7
61,2.033,coco_yolov8s,0,person,0.6540,1346.7,154.8,1624.9,748.1
61,2.033,coco_yolov8s,0,person,0.5058,1242.9,345.7,1456.6,810.5
62,2.067,coco_yolov8s,0,person,0.6970,1335.6,151.7,1611.8,746.7
62,2.067,coco_yolov8s,0,person,0.6343,1240.0,346.1,1449.0,812.6
63,2.100,coco_yolov8s,0,person,0.5602,1230.4,153.4,1599.7,810.2
64,2.133,coco_yolov8s,0,person,0.4277,1296.7,155.2,1586.1,784.8
64,2.133,coco_yolov8s,0,person,0.4085,1214.7,348.2,1435.2,807.0
64,2.133,coco_yolov8s,0,person,0.2744,1757.1,1.1,1919.0,289.7
65,2.167,coco_yolov8s,0,person,0.7340,1291.5,160.6,1574.1,753.9
65,2.167,coco_yolov8s,0,person,0.6032,1193.1,346.0,1421.8,808.3
65,2.167,coco_yolov8s,0,person,0.2695,852.0,601.4,964.7,871.5
